SEQUENCE_ID,TYPE,DOMAINS,TP,FP,FN,Sens,PPV,Jaccard
E002_002,E,2,1,3,1,0.5,0.25,0.2
E002_003,E,2,1,3,1,0.5,0.25,0.2
E002_004,E,2,1,4,1,0.5,0.2,0.16667
E002_005,E,2,1,2,1,0.5,0.33333,0.25
E002_006,E,2,1,3,1,0.5,0.25,0.2
E002_007,E,2,1,2,1,0.5,0.33333,0.25
E002_008,E,2,1,3,1,0.5,0.25,0.2
E002_009,E,2,1,6,1,0.5,0.14286,0.125
E002_010,E,2,1,2,1,0.5,0.33333,0.25
E002_011,E,2,0,15,2,0.0,0.0,0.0
E002_012,E,2,1,4,1,0.5,0.2,0.16667
E002_013,E,2,2,0,0,1.0,1.0,1.0
E002_014,E,2,2,0,0,1.0,1.0,1.0
E002_015,E,2,2,0,0,1.0,1.0,1.0
E002_016,E,2,0,18,2,0.0,0.0,0.0
E002_017,E,2,2,2,0,1.0,0.5,0.5
E002_018,E,2,0,9,2,0.0,0.0,0.0
E002_019,E,2,1,3,1,0.5,0.25,0.2
E002_020,E,2,2,2,0,1.0,0.5,0.5
E002_021,E,2,0,16,2,0.0,0.0,0.0
E002_022,E,2,1,5,1,0.5,0.16667,0.14286
E002_023,E,2,1,4,1,0.5,0.2,0.16667
E002_024,E,2,2,0,0,1.0,1.0,1.0
E002_025,E,2,2,0,0,1.0,1.0,1.0
E002_026,E,2,0,10,2,0.0,0.0,0.0
E002_027,E,2,2,1,0,1.0,0.66667,0.66667
E002_028,E,2,0,14,2,0.0,0.0,0.0
E002_029,E,2,1,5,1,0.5,0.16667,0.14286
E002_030,E,2,1,3,1,0.5,0.25,0.2
E002_031,E,2,0,6,2,0.0,0.0,0.0
E002_032,E,2,1,3,1,0.5,0.25,0.2
E002_033,E,2,0,6,2,0.0,0.0,0.0
E002_034,E,2,1,7,1,0.5,0.125,0.11111
E002_035,E,2,2,2,0,1.0,0.5,0.5
E002_036,E,2,1,5,1,0.5,0.16667,0.14286
E002_037,E,2,1,3,1,0.5,0.25,0.2
E002_038,E,2,2,4,0,1.0,0.33333,0.33333
E002_039,E,2,2,0,0,1.0,1.0,1.0
E002_040,E,2,0,5,2,0.0,0.0,0.0
E002_041,E,2,1,2,1,0.5,0.33333,0.25
E002_042,E,2,0,7,2,0.0,0.0,0.0
E002_043,E,2,1,6,1,0.5,0.14286,0.125
E002_044,E,2,0,6,2,0.0,0.0,0.0
E002_045,E,2,2,0,0,1.0,1.0,1.0
E002_046,E,2,1,5,1,0.5,0.16667,0.14286
E002_047,E,2,2,0,0,1.0,1.0,1.0
E002_048,E,2,0,6,2,0.0,0.0,0.0
E002_049,E,2,1,3,1,0.5,0.25,0.2
E002_050,E,2,1,4,1,0.5,0.2,0.16667
E002_051,E,2,0,6,2,0.0,0.0,0.0
E002_052,E,2,1,4,1,0.5,0.2,0.16667
E002_053,E,2,2,0,0,1.0,1.0,1.0
E002_054,E,2,1,4,1,0.5,0.2,0.16667
E002_055,E,2,1,5,1,0.5,0.16667,0.14286
E002_056,E,2,1,2,1,0.5,0.33333,0.25
E002_057,E,2,2,0,0,1.0,1.0,1.0
E002_058,E,2,2,1,0,1.0,0.66667,0.66667
E002_059,E,2,1,8,1,0.5,0.11111,0.1
E002_060,E,2,1,8,1,0.5,0.11111,0.1
E002_061,E,2,2,0,0,1.0,1.0,1.0
E002_062,E,2,2,4,0,1.0,0.33333,0.33333
E002_063,E,2,1,3,1,0.5,0.25,0.2
E002_064,E,2,1,5,1,0.5,0.16667,0.14286
E002_065,E,2,2,1,0,1.0,0.66667,0.66667
E002_066,E,2,1,7,1,0.5,0.125,0.11111
E002_067,E,2,1,6,1,0.5,0.14286,0.125
E002_068,E,2,1,2,1,0.5,0.33333,0.25
E002_069,E,2,2,0,0,1.0,1.0,1.0
E002_070,E,2,0,5,2,0.0,0.0,0.0
E002_071,E,2,1,4,1,0.5,0.2,0.16667
E002_072,E,2,0,13,2,0.0,0.0,0.0
E002_073,E,2,2,2,0,1.0,0.5,0.5
E002_074,E,2,0,13,2,0.0,0.0,0.0
E002_075,E,2,1,4,1,0.5,0.2,0.16667
E002_076,E,2,1,5,1,0.5,0.16667,0.14286
E002_077,E,2,1,3,1,0.5,0.25,0.2
E002_078,E,2,1,2,1,0.5,0.33333,0.25
E002_079,E,2,2,0,0,1.0,1.0,1.0
E002_080,E,2,1,6,1,0.5,0.14286,0.125
E002_081,E,2,2,0,0,1.0,1.0,1.0
E002_082,E,2,1,4,1,0.5,0.2,0.16667
E002_083,E,2,0,13,2,0.0,0.0,0.0
E002_084,E,2,1,6,1,0.5,0.14286,0.125
E002_085,E,2,2,2,0,1.0,0.5,0.5
E002_086,E,2,0,6,2,0.0,0.0,0.0
E002_087,E,2,2,0,0,1.0,1.0,1.0
E002_088,E,2,1,3,1,0.5,0.25,0.2
E002_089,E,2,0,13,2,0.0,0.0,0.0
E002_090,E,2,2,4,0,1.0,0.33333,0.33333
E002_091,E,2,2,0,0,1.0,1.0,1.0
E002_092,E,2,0,9,2,0.0,0.0,0.0
E002_093,E,2,2,0,0,1.0,1.0,1.0
E002_094,E,2,0,7,2,0.0,0.0,0.0
E002_095,E,2,2,0,0,1.0,1.0,1.0
E002_096,E,2,0,13,2,0.0,0.0,0.0
E002_097,E,2,2,1,0,1.0,0.66667,0.66667
E002_098,E,2,0,8,2,0.0,0.0,0.0
E002_099,E,2,2,0,0,1.0,1.0,1.0
E002_100,E,2,2,2,0,1.0,0.5,0.5
E004_001,E,4,3,4,1,0.75,0.42857,0.375
E004_002,E,4,2,10,2,0.5,0.16667,0.14286
E004_003,E,4,2,9,2,0.5,0.18182,0.15385
E004_004,E,4,2,7,2,0.5,0.22222,0.18182
E004_005,E,4,3,7,1,0.75,0.3,0.27273
E004_006,E,4,3,3,1,0.75,0.5,0.42857
E004_007,E,4,2,8,2,0.5,0.2,0.16667
E004_008,E,4,3,5,1,0.75,0.375,0.33333
E004_009,E,4,2,9,2,0.5,0.18182,0.15385
E004_010,E,4,1,11,3,0.25,0.08333,0.06667
E004_011,E,4,4,0,0,1.0,1.0,1.0
E004_012,E,4,2,8,2,0.5,0.2,0.16667
E004_013,E,4,1,10,3,0.25,0.09091,0.07143
E004_014,E,4,4,1,0,1.0,0.8,0.8
E004_015,E,4,2,8,2,0.5,0.2,0.16667
E004_016,E,4,2,6,2,0.5,0.25,0.2
E004_017,E,4,3,4,1,0.75,0.42857,0.375
E004_018,E,4,0,11,4,0.0,0.0,0.0
E004_019,E,4,2,5,2,0.5,0.28571,0.22222
E004_020,E,4,3,8,1,0.75,0.27273,0.25
E004_021,E,4,2,6,2,0.5,0.25,0.2
E004_022,E,4,3,7,1,0.75,0.3,0.27273
E004_023,E,4,1,14,3,0.25,0.06667,0.05556
E004_024,E,4,4,0,0,1.0,1.0,1.0
E004_025,E,4,1,11,3,0.25,0.08333,0.06667
E004_026,E,4,1,13,3,0.25,0.07143,0.05882
E004_027,E,4,1,8,3,0.25,0.11111,0.08333
E004_028,E,4,3,5,1,0.75,0.375,0.33333
E004_029,E,4,1,7,3,0.25,0.125,0.09091
E004_030,E,4,4,1,0,1.0,0.8,0.8
E004_031,E,4,3,3,1,0.75,0.5,0.42857
E004_032,E,4,3,6,1,0.75,0.33333,0.3
E004_033,E,4,1,9,3,0.25,0.1,0.07692
E004_034,E,4,0,20,4,0.0,0.0,0.0
E004_035,E,4,3,2,1,0.75,0.6,0.5
E004_036,E,4,4,1,0,1.0,0.8,0.8
E004_037,E,4,4,2,0,1.0,0.66667,0.66667
E004_038,E,4,1,18,3,0.25,0.05263,0.04545
E004_039,E,4,2,5,2,0.5,0.28571,0.22222
E004_040,E,4,3,6,1,0.75,0.33333,0.3
E004_041,E,4,2,9,2,0.5,0.18182,0.15385
E004_042,E,4,3,4,1,0.75,0.42857,0.375
E004_043,E,4,2,5,2,0.5,0.28571,0.22222
E004_044,E,4,2,4,2,0.5,0.33333,0.25
E004_045,E,4,2,9,2,0.5,0.18182,0.15385
E004_046,E,4,2,5,2,0.5,0.28571,0.22222
E004_047,E,4,3,7,1,0.75,0.3,0.27273
E004_048,E,4,0,16,4,0.0,0.0,0.0
E004_049,E,4,2,6,2,0.5,0.25,0.2
E004_050,E,4,3,3,1,0.75,0.5,0.42857
E004_051,E,4,4,1,0,1.0,0.8,0.8
E004_052,E,4,1,10,3,0.25,0.09091,0.07143
E004_053,E,4,2,9,2,0.5,0.18182,0.15385
E004_054,E,4,2,6,2,0.5,0.25,0.2
E004_055,E,4,1,7,3,0.25,0.125,0.09091
E004_056,E,4,2,5,2,0.5,0.28571,0.22222
E004_057,E,4,1,10,3,0.25,0.09091,0.07143
E004_058,E,4,1,14,3,0.25,0.06667,0.05556
E004_059,E,4,1,8,3,0.25,0.11111,0.08333
E004_060,E,4,0,12,4,0.0,0.0,0.0
E004_061,E,4,1,9,3,0.25,0.1,0.07692
E004_062,E,4,2,11,2,0.5,0.15385,0.13333
E004_063,E,4,1,11,3,0.25,0.08333,0.06667
E004_064,E,4,3,3,1,0.75,0.5,0.42857
E004_065,E,4,2,9,2,0.5,0.18182,0.15385
E004_066,E,4,4,0,0,1.0,1.0,1.0
E004_067,E,4,2,8,2,0.5,0.2,0.16667
E004_068,E,4,2,15,2,0.5,0.11765,0.10526
E004_069,E,4,4,0,0,1.0,1.0,1.0
E004_070,E,4,3,3,1,0.75,0.5,0.42857
E004_071,E,4,3,2,1,0.75,0.6,0.5
E004_072,E,4,2,7,2,0.5,0.22222,0.18182
E004_073,E,4,2,7,2,0.5,0.22222,0.18182
E004_074,E,4,2,8,2,0.5,0.2,0.16667
E004_075,E,4,2,7,2,0.5,0.22222,0.18182
E004_076,E,4,1,13,3,0.25,0.07143,0.05882
E004_077,E,4,1,11,3,0.25,0.08333,0.06667
E004_078,E,4,3,3,1,0.75,0.5,0.42857
E004_079,E,4,2,4,2,0.5,0.33333,0.25
E004_080,E,4,1,12,3,0.25,0.07692,0.0625
E004_081,E,4,4,1,0,1.0,0.8,0.8
E004_082,E,4,1,13,3,0.25,0.07143,0.05882
E004_083,E,4,1,10,3,0.25,0.09091,0.07143
E004_084,E,4,1,19,3,0.25,0.05,0.04348
E004_085,E,4,1,14,3,0.25,0.06667,0.05556
E004_086,E,4,3,4,1,0.75,0.42857,0.375
E004_087,E,4,2,11,2,0.5,0.15385,0.13333
E004_088,E,4,3,5,1,0.75,0.375,0.33333
E004_089,E,4,3,3,1,0.75,0.5,0.42857
E004_090,E,4,1,12,3,0.25,0.07692,0.0625
E004_091,E,4,4,4,0,1.0,0.5,0.5
E004_092,E,4,1,12,3,0.25,0.07692,0.0625
E004_093,E,4,3,5,1,0.75,0.375,0.33333
E004_094,E,4,1,11,3,0.25,0.08333,0.06667
E004_095,E,4,2,6,2,0.5,0.25,0.2
E004_096,E,4,1,10,3,0.25,0.09091,0.07143
E004_097,E,4,2,7,2,0.5,0.22222,0.18182
E004_098,E,4,2,7,2,0.5,0.22222,0.18182
E004_099,E,4,0,12,4,0.0,0.0,0.0
E004_100,E,4,3,3,1,0.75,0.5,0.42857
E005_001,E,5,3,5,2,0.6,0.375,0.3
E005_002,E,5,3,11,2,0.6,0.21429,0.1875
E005_003,E,5,3,11,2,0.6,0.21429,0.1875
E005_004,E,5,3,13,2,0.6,0.1875,0.16667
E005_005,E,5,3,12,2,0.6,0.2,0.17647
E005_006,E,5,3,8,2,0.6,0.27273,0.23077
E005_007,E,5,2,6,3,0.4,0.25,0.18182
E005_008,E,5,4,5,1,0.8,0.44444,0.4
E005_009,E,5,3,9,2,0.6,0.25,0.21429
E005_010,E,5,2,9,3,0.4,0.18182,0.14286
E005_011,E,5,2,9,3,0.4,0.18182,0.14286
E005_012,E,5,2,9,3,0.4,0.18182,0.14286
E005_013,E,5,2,9,3,0.4,0.18182,0.14286
E005_014,E,5,2,10,3,0.4,0.16667,0.13333
E005_015,E,5,3,5,2,0.6,0.375,0.3
E005_016,E,5,1,12,4,0.2,0.07692,0.05882
E005_017,E,5,4,5,1,0.8,0.44444,0.4
E005_018,E,5,3,11,2,0.6,0.21429,0.1875
E005_019,E,5,3,7,2,0.6,0.3,0.25
E005_020,E,5,2,8,3,0.4,0.2,0.15385
